Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
24/10/2023,S002,P0008, electronics ,North,225,138.0,144,139.31,40.47,0,Snowy,1,41.97,Winter
2023-03-11,S005,P0006,TOYS,North,200,105.0,119,117.55,18.65,15,Cloudy,1,16.65,Spring
2022-12-10,S001,P0005,Clothing,East,145,70.0,137,78.51,20.33,15,Snowy,0,18.04,Winter
2022-12-10,S001,P0018, electronics ,West,350,105.0,157,103.11,98.65,15,Sunny,0,95.43,Spring
2023-01-22,S002,P0012,Groceries ,North,145,76.0,145,92.47,10.04,20,Sunny,0,13.01,Winter
2023-02-26,S001,P0012, electronics ,East,371,206.0,80,222.51,11.27,10,Sunny,0,6.58,Summer
2023-09-29,S001,P0002,Groceries ,North,113,87.0,145,91.25,30.53,15,Snowy,0,34.65,Summer
2022-11-03,S004,P0003,Clothing,East,464,53.0,93,56.67,50.23,15,Sunny,1,54.12,Summer
2022-08-03,S002,P0020,Groceries ,East,132,129.0,68,139.11,61.78,15,Sunny,0,59.69,Winter
02/05/2022,S001,P0008,Groceries ,West,-150,55.0,176,46.45,17.63,0,Rainy,1,21.23,Summer
2023-08-09,S003,P0008,Furniture,East,108,9.0,111,7.89,74.36,15,Rainy,1,75.09,Spring
2023-05-16,S003,P0004,Groceries ,East,241,128.0,24,125.6,34.1,20,Sunny,1,37.34,Summer
2023-10-21,S001,P0017,Furniture,South,445,327.0,135,335.27,71.15,0,Sunny,1,70.49,Winter
2023-04-17,S003,P0018,TOYS,East,127,41.0,76,56.58,96.03,5,Cloudy,0,99.13,Spring
2022-07-27,S001,P0006,Clothing,South,87,71.0,166,88.45,27.99,15,Snowy,1,27.14,Winter
2023-01-20,S001,P0005,Groceries ,East,114,78.0,104,69.73,81.5,10,Cloudy,1,77.87,Autumn
2023-05-29,S004,P0003,Furniture,South,481,470.0,77,462.87,65.92,20,Rainy,0,62.55,Winter
2022-11-02,S002,P0019,Clothing,West,463,137.0,110,138.83,72.51,20,Snowy,0,74.7,Autumn
2022-06-01,S004,P0020, electronics ,North,342,93.0,162,96.53,39.36,0,Sunny,0,41.0,Summer
21/06/2023,S001,P0007,Clothing,South,482,179.0,188,178.97,82.95,10,Cloudy,1,81.61,Autumn
2022-07-08,S002,P0010,Clothing,West,-150,273.0,162,286.12,15.04,20,Snowy,1,13.89,Winter
2022-06-12,S005,P0011,Clothing,East,162,49.0,100,62.24,79.39,20,Snowy,0,74.8,Spring
2022-11-21,S003,P0013,Furniture,East,66,52.0,28,60.79,85.28,15,Rainy,1,85.11,Summer
2023-11-26,S005,P0004,Clothing,South,-150,258.0,96,250.87,63.32,20,Snowy,1,66.38,Autumn
2022-09-15,S005,P0015,TOYS,East,182,82.0,179,97.89,63.89,5,Cloudy,0,63.1,Summer
2022-01-08,S004,P0020,Groceries ,West,176,59.0,21,71.18,30.67,15,Sunny,1,25.88,Spring
2022-02-23,S003,P0006,Groceries ,West,246,211.0,114,215.67,57.73,10,Snowy,0,56.35,Spring
02/08/2023,S005,P0020,Groceries ,South,72,11.0,89,7.7,61.05,15,Rainy,0,57.86,Spring
2023-12-05,S005,P0001,TOYS,North,79,8.0,117,20.47,95.71,15,Cloudy,1,90.96,Autumn
2022-04-03,S004,P0004, electronics ,East,486,120.0,34,113.25,49.17,0,Snowy,0,49.08,Winter
2022-09-15,S001,P0019,Groceries ,West,286,209.0,193,218.39,33.33,0,Snowy,0,35.1,Summer
2023-09-23,S005,P0015,Groceries ,South,234,69.0,94,66.54,54.68,15,Rainy,0,57.87,Autumn
2022-10-04,S004,P0008,Clothing,South,444,326.0,118,335.53,84.51,0,Snowy,1,80.89,Autumn
16/12/2022,S002,P0019,TOYS,East,-150,321.0,102,318.54,54.34,10,Rainy,0,51.48,Spring
2023-07-25,S005,P0003,Groceries ,West,279,59.0,71,55.15,65.55,15,Snowy,1,62.52,Autumn
2022-06-03,S002,P0004, electronics ,West,457,,29,425.81,93.12,10,Cloudy,0,97.74,Winter
2023-01-11,S002,P0002,TOYS,East,247,125.0,117,135.66,81.21,0,Sunny,1,82.26,Autumn
2023-03-18,S003,P0011,Clothing,East,182,130.0,58,133.84,46.24,10,Rainy,1,44.43,Winter
2023-05-04,S001,P0015,Groceries ,North,337,268.0,153,275.23,62.31,10,Snowy,1,65.28,Autumn
2023-08-12,S003,P0016, electronics ,North,155,80.0,188,89.23,81.95,0,Rainy,1,86.8,Spring
2023-11-19,S001,P0019,Clothing,West,235,164.0,42,181.77,45.29,5,Sunny,0,41.01,Winter
2022-12-11,S001,P0013,Furniture,West,466,342.0,76,341.31,69.55,10,Rainy,1,73.96,Winter
2023-06-24,S005,P0006,TOYS,West,159,33.0,83,39.1,96.05,5,Sunny,0,97.0,Winter
2023-09-21,S005,P0007,Groceries ,West,363,130.0,193,139.51,15.23,20,Cloudy,0,11.04,Winter
2022-01-30,S003,P0002,Furniture,West,102,99.0,54,89.84,74.44,10,Rainy,1,73.0,Autumn
2023-04-29,S003,P0004,TOYS,North,157,,116,82.99,16.31,10,Rainy,1,20.36,Winter
2022-07-29,S003,P0020, electronics ,East,221,94.0,180,86.02,74.95,15,Cloudy,0,70.42,Summer
2023-05-01,S004,P0017, electronics ,South,225,151.0,179,157.61,16.9,15,Snowy,0,16.11,Summer
2023-06-26,S005,P0018,TOYS,North,262,242.0,85,242.98,52.47,15,Cloudy,0,54.77,Spring
2023-03-21,S001,P0013,Clothing,West,283,14.0,107,15.55,80.17,10,Sunny,1,83.21,Summer
2023-10-29,S003,P0008,Furniture,East,242,95.0,115,109.12,18.85,0,Cloudy,0,20.84,Winter
2022-11-01,S004,P0008,Groceries ,North,433,75.0,107,92.97,98.51,10,Rainy,1,102.54,Winter
2022-08-13,S003,P0017,TOYS,West,306,113.0,67,130.13,24.26,20,Snowy,1,27.12,Summer
2022-10-08,S003,P0008,Furniture,South,51,1.0,162,5.37,95.6,15,Rainy,1,93.06,Summer
13/08/2022,S001,P0009, electronics ,East,137,20.0,121,25.16,92.72,5,Rainy,1,88.56,Summer
2023-05-20,S003,P0019,Groceries ,East,326,306.0,50,299.24,80.39,5,Sunny,1,77.57,Summer
2022-01-23,S005,P0020,TOYS,North,104,92.0,116,96.78,11.87,0,Rainy,0,8.5,Winter
2023-05-07,S002,P0015,Groceries ,South,359,81.0,44,91.4,58.26,5,Sunny,0,61.64,Winter
2023-11-05,S003,P0002,TOYS,North,244,74.0,147,81.88,63.69,20,Sunny,1,66.4,Autumn
2023-04-18,S002,P0007,TOYS,North,85,76.0,31,94.0,52.57,5,Snowy,1,57.54,Summer
2023-10-21,S003,P0013,Clothing,East,397,224.0,122,240.6,75.55,15,Cloudy,1,75.18,Winter
2022-03-10,S004,P0016,Furniture,South,390,185.0,148,183.74,53.52,0,Rainy,1,50.1,Spring
2022-03-09,S002,P0017,TOYS,South,220,138.0,81,136.79,23.59,5,Cloudy,1,19.79,Summer
2023-10-31,S005,P0009, electronics ,North,196,91.0,126,99.03,34.96,15,Sunny,1,33.35,Summer
2023-01-17,S001,P0010,Groceries ,East,468,269.0,54,269.02,39.09,15,Cloudy,1,36.15,Winter
2022-01-02,S002,P0008, electronics ,North,241,42.0,187,46.32,14.8,15,Sunny,1,13.94,Spring
2022-07-25,S005,P0010, electronics ,West,433,63.0,126,53.62,77.84,5,Rainy,1,77.45,Autumn
2023-06-04,S001,P0017,Furniture,North,177,59.0,91,78.25,23.52,10,Sunny,1,23.92,Autumn
2022-04-15,S002,P0005,Groceries ,South,312,,137,155.35,42.18,5,Rainy,1,43.39,Summer
2024-01-01,S001,P0016, electronics ,East,74,13.0,189,27.53,40.61,10,Cloudy,1,35.76,Summer
2022-10-02,S001,P0004,Groceries ,East,442,83.0,164,85.18,43.87,5,Rainy,0,41.11,Spring
2023-05-25,S004,P0017,TOYS,East,97,67.0,158,61.8,50.35,15,Sunny,1,54.16,Spring
2022-08-15,S001,P0001,Groceries ,South,187,,51,150.99,95.07,10,Sunny,0,92.8,Spring
2022-05-01,S002,P0019,Clothing,North,422,41.0,31,45.05,67.76,20,Cloudy,0,69.86,Summer
2022-07-02,S004,P0016, electronics ,North,378,160.0,164,168.04,77.51,15,Rainy,1,81.34,Summer
2022-08-27,S002,P0020,Groceries ,East,464,223.0,118,232.12,48.18,15,Sunny,1,48.6,Autumn
10/03/2023,S003,P0008,Clothing,South,302,250.0,199,243.6,83.22,15,Cloudy,1,82.0,Autumn
2022-09-05,S004,P0014, electronics ,East,61,33.0,63,33.02,82.24,15,Snowy,0,77.93,Winter
2022-05-28,S003,P0013,Furniture,North,61,33.0,45,45.78,59.99,15,Cloudy,0,63.57,Autumn
2023-03-23,S001,P0007,Clothing,West,258,41.0,85,39.94,,10,Snowy,0,88.46,Spring
2023-05-21,S002,P0013,Clothing,West,250,100.0,46,106.66,24.49,10,Snowy,1,26.32,Summer
2022-10-14,S005,P0012, electronics ,North,498,410.0,76,402.64,74.41,0,Snowy,1,78.11,Spring
2022-03-11,S005,P0006,TOYS,East,268,75.0,165,72.62,76.4,20,Rainy,1,77.84,Spring
2023-06-15,S001,P0001,Groceries ,West,227,67.0,128,86.99,35.35,0,Snowy,0,32.11,Autumn
08/06/2023,S003,P0007, electronics ,South,311,190.0,46,209.0,79.51,0,Snowy,1,83.1,Spring
2023-05-16,S003,P0013,Clothing,North,185,76.0,95,92.93,79.55,15,Rainy,1,80.09,Spring
